path,stage,upstream_el_m,downstream_el_m,required_peak_m,balancing_head_m,lambda030_margin_m
T5,18,28.949999999999996,28.749999999999996,0.1434494048622972,0.0565505951377028,0.04736983322651578
T6,0,34.8,34.65,0.15,0.0,0.0
T6,1,34.65,34.55,0.05309899291066596,0.04690100708933405,0.04690100708933405
T6,2,34.55,34.25,0.2509965404610102,0.04900345953898977,0.04900345953898977
T6,3,34.25,33.8,0.31782308328255543,0.13217691671744458,0.11904373145783487
T6,4,33.8,33.4,0.35316032315627843,0.04683967684372159,0.04683967684372159
T6,5,33.4,33.05,0.29022294323736914,0.05977705676263084,0.04627996156852987
T6,6,33.05,32.849999999999994,0.2,0.0,0.0
T6,7,32.849999999999994,32.599999999999994,0.20569198356669421,0.044308016433305786,0.0369289318210477
T6,8,32.599999999999994,32.3,0.3,0.0,0.0
T6,9,32.3,31.949999999999996,0.2661248467241544,0.0838751532758456,0.07516073764004205
T6,10,31.949999999999996,31.499999999999996,0.42556185158393556,0.024438148416064454,0.024438148416064454
T6,11,31.499999999999996,31.149999999999995,0.24174725750820877,0.1082527424917912,0.09907212355036854
T6,12,31.149999999999995,30.949999999999996,0.2,0.0,0.0
T6,13,30.949999999999996,30.249999999999996,0.44253440848169884,0.2574655915183011,0.24836284496211264
T6,14,30.249999999999996,30.099999999999998,0.10256069832083935,0.04743930167916065,0.04743930167916065
T6,15,30.099999999999998,30.049999999999997,0.01118060530498204,0.03881939469501797,0.03881939469501797
T6,16,30.049999999999997,29.299999999999997,0.75,0.0,0.0
T6,17,29.299999999999997,28.949999999999996,0.2674792064540515,0.08252079354594849,0.07945638365203955
T6,18,28.949999999999996,28.749999999999996,0.1434494048622972,0.0565505951377028,0.04736983322651578
T7,0,34.8,34.65,0.15,0.0,0.0
T7,1,34.65,34.55,0.05309899291066596,0.04690100708933405,0.04690100708933405
T7,2,34.55,34.25,0.2509965404610102,0.04900345953898977,0.04900345953898977
T7,3,34.25,33.8,0.31782308328255543,0.13217691671744458,0.11904373145783487
T7,4,33.8,33.4,0.35316032315627843,0.04683967684372159,0.04683967684372159
T7,5,33.4,33.05,0.29022294323736914,0.05977705676263084,0.04627996156852987
T7,6,33.05,32.849999999999994,0.2,0.0,0.0
T7,7,32.849999999999994,32.599999999999994,0.20569198356669421,0.044308016433305786,0.0369289318210477
T7,8,32.599999999999994,32.3,0.3,0.0,0.0
T7,9,32.3,31.949999999999996,0.2661248467241544,0.0838751532758456,0.07516073764004205
T7,10,31.949999999999996,31.499999999999996,0.42556185158393556,0.024438148416064454,0.024438148416064454
T7,11,31.499999999999996,31.149999999999995,0.24174725750820877,0.1082527424917912,0.09907212355036854
T7,12,31.149999999999995,30.949999999999996,0.2,0.0,0.0
T7,13,30.949999999999996,30.249999999999996,0.46369342917773676,0.2363065708222632,0.22559865717878907
T7,14,30.249999999999996,30.099999999999998,0.10256069832083935,0.04743930167916065,0.04743930167916065
T7,15,30.099999999999998,30.049999999999997,0.01118060530498204,0.03881939469501797,0.03881939469501797
T7,16,30.049999999999997,29.299999999999997,0.75,0.0,0.0
T7,17,29.299999999999997,28.949999999999996,0.2674792064540515,0.08252079354594849,0.07945638365203955
T7,18,28.949999999999996,28.749999999999996,0.1434494048622972,0.0565505951377028,0.04736983322651578
T8,0,34.8,34.65,0.15,0.0,0.0
T8,1,34.65,34.55,0.05309899291066596,0.04690100708933405,0.04690100708933405
T8,2,34.55,34.25,0.2509965404610102,0.04900345953898977,0.04900345953898977
T8,3,34.25,33.8,0.31782308328255543,0.13217691671744458,0.11904373145783487
T8,4,33.8,33.4,0.35316032315627843,0.04683967684372159,0.04683967684372159
T8,5,33.4,33.05,0.29022294323736914,0.05977705676263084,0.04627996156852987
T8,6,33.05,32.849999999999994,0.2,0.0,0.0
T8,7,32.849999999999994,32.599999999999994,0.20569198356669421,0.044308016433305786,0.0369289318210477
T8,8,32.599999999999994,32.3,0.3,0.0,0.0
T8,9,32.3,31.949999999999996,0.2661248467241544,0.0838751532758456,0.07516073764004205
